Zeit,bitcoin
1730340878524,72202.05301645458
1730344738919,72519.57306330977
1730347886449,72320.02379467984
1730351895369,72194.06127433552
1730354444439,72266.0989592653
1730358169034,72203.02986430954
1730362186562,72329.48935058291
1730365645033,72321.14668855653
1730369553786,72295.04967584062
1730373324267,72448.26215725673
1730377189548,72225.49020232049
1730380434322,72025.58086223969
1730384451008,71161.18714630343
1730387908330,70740.92130637477
1730391398869,70607.84972726597
1730394117860,70337.12216262396
1730398709704,70423.56523238322
1730401904133,70622.9798741049
1730405437057,69964.0894315405
1730409299039,70029.79237067723
1730413175518,70200.64919362342
1730415755763,70405.27560692604
1730419414209,70179.73597236395
1730423030839,70086.07109032726
1730426960962,69135.69634559606
1730430272703,69493.585419363
1730434682363,69329.1657625703
1730437887158,69505.32070756624
1730441322225,69634.00748313217
1730445201857,69130.94832532185
1730449083584,69317.71348977649
1730452228605,69296.74519201157
1730455541754,69468.24836793519
1730458978411,69919.07922271991
1730463179133,70046.60421568704
1730466228197,70294.70383255692
1730470568127,71293.57948597429
1730474096870,70923.82801277052
1730477176660,69345.35372545556
1730480555546,69844.9093361785
1730484563174,69503.6636049073
1730488888115,69020.89099716532
1730491464560,69284.71677804172
1730495989393,69209.0988065412
1730499422330,69384.28811999508
1730503089660,69544.59650276595
1730505738700,69473.056978763
1730509479164,69662.79463761573
1730513370363,69655.48607358806
1730516475736,69642.32638674723
1730520169407,69574.92942499154
1730524066258,69430.40242682816
1730527906093,69658.3822595126
1730531052651,69728.32471611118
1730535633898,69722.73091171448
1730538085744,69624.21859828541
1730542808229,69448.83294024071
1730546526995,69607.56677909252
1730549493551,69616.25877582343
1730553132112,69475.82848467823
1730556489076,69312.32127397711
1730560576224,69183.82877819541
1730563549546,69412.9332576336
1730567716166,69519.99938972613
1730571552465,69268.54156350248
1730574327562,69413.3617711876
1730578530448,69482.80313086542
1730581995505,69459.2861779806
1730585370723,69387.39205984579
1730589031814,69258.7473726412
1730593283343,69362.07666610858
1730596293666,69123.04621984242
1730599560427,68922.6957934696
1730603583382,68339.87988613642
1730606700973,68324.71891845985
1730610384127,68573.7088243111
1730613947380,68446.97493204614
1730617403682,68549.87880698167
1730621031280,68367.69327347612
1730624463046,68450.37288501477
1730628330678,68200.49111764514
1730632185715,68373.76000281492
1730635810377,68370.90018503387
1730639321654,68390.71618098798
1730643546006,68048.91908317909
1730647116075,67719.13813560325
1730649769661,68096.68332008435
1730653873631,68439.14241616528
1730657079169,68340.85707100407
1730661113348,68313.76539011773
1730665146583,68533.57811739066
1730668855751,69102.91649492079
1730671546658,69113.85653675799
1730674825756,68910.25635002193
1730678732205,68736.01833017307
1730682100434,68593.94033671275
1730686663496,68850.9066242415
1730689557404,69317.98487239552
1730692947542,68980.29446757899
1730697591518,69077.44677984508
1730700870128,68909.56966678747
1730704712826,68985.50374870904
1730708330159,68639.82285689418
1730711457629,68816.40479951414
1730714991523,68795.77488955649
1730718628273,68634.09173414594
1730722427424,68846.44085070644
1730725732625,69021.33175867966
1730729479112,68588.81574774935
1730732843661,68369.51093993724
1730736553940,68447.31631587596
1730740860251,67502.47660613543
1730743836633,67627.43829020744
1730747746734,67939.35870942277
1730750950863,67704.72935070655
1730753998000,67338.46017668897
