Zeit,ethereum
1729642276082,2619.4949654770435
1729646296091,2615.2818999154797
1729648870283,2620.4621661800825
1729653548241,2612.7382511417977
1729656505590,2617.761400753457
1729660553406,2614.4478857339586
1729664198559,2616.9428691988755
1729667254495,2609.655660642921
1729671054963,2607.2869641164802
1729675107600,2564.19496566017
1729677874193,2578.434639098563
1729681674024,2580.7235636324826
1729685128016,2578.47547526963
1729688698306,2569.8095017693054
1729693006505,2569.8456934725164
1729695741225,2561.3356024420796
1729700394927,2529.1603609278745
1729703358945,2487.621282388411
1729707153439,2474.343799319896
1729710656293,2493.89139414498
1729714699005,2506.4833694567965
1729717994014,2502.8397801382966
1729721440749,2507.0145569478655
1729724866359,2509.940850650003
1729728708701,2520.1948666824383
1729731747822,2546.8077084516035
1729736063021,2539.69655559225
1729739512044,2550.493692888626
1729743258919,2546.6191286594644
1729746980700,2555.7452835789068
1729750124739,2557.383396451666
1729753413976,2544.9095330580903
1729757610899,2545.9095628520786
1729760588030,2521.3050584309044
1729764875660,2521.7353901031183
1729768612312,2520.960844057779
1729771369067,2527.015747851595
1729774923545,2530.09737500215
1729779211297,2523.7304335322324
1729783029453,2530.1413676641373
1729786806373,2512.727324859132
1729789429094,2515.9771334865577
1729793263041,2520.886553404354
1729796811033,2522.0373697851833
1729801000439,2533.7770113809643
1729804304547,2543.3087996980707
1729807430740,2537.17219506372
1729811281023,2530.0397256433266
1729814950041,2536.0872103854294
1729818251149,2522.3325285131787
1729821867784,2517.938607562189
1729825954492,2522.800031996414
1729829192791,2519.802877158411
1729832673865,2490.641301719118
1729836500834,2492.572358893322
1729840047974,2492.70799139116
1729843643315,2479.3173646322666
1729847465414,2525.7891583016817
1729851221615,2533.094081319734
1729854421759,2539.0627270378145
1729858687398,2544.3615367961256
1729861505802,2537.1081255491836
1729865849184,2550.397963827099
1729868838931,2548.2473100314905
1729872197810,2521.8464149831657
1729876079462,2532.262939570411
1729880139116,2458.005635431164
1729883483711,2480.618367909517
1729886670442,2470.487039763449
1729890206008,2474.6848526917606
1729894578525,2489.16603801721
1729897575250,2475.955667676344
1729901393871,2429.007465568747
1729905446300,2433.867725885148
1729908367054,2433.91233097077
1729911731186,2443.105898480051
1729915989459,2450.6719907108986
1729919512902,2458.3998801128782
1729923231508,2463.89861912673
1729926805886,2469.4769528900365
1729930340346,2465.769852828877
1729933833222,2468.6584547669227
1729937292462,2464.3975510889113
1729940639302,2465.27293303162
1729944539845,2473.049613233234
1729947876371,2468.8893188657066
1729952363864,2463.18421183314
1729955551077,2448.838938715049
1729958817763,2456.127444574765
1729962050900,2465.3179738722188
1729965867033,2475.2562291534905
1729969700494,2479.236721924563
1729973142993,2483.077644640858
1729976552749,2488.3947057960645
1729980453657,2487.759088762104
1729984366296,2482.9204309359193
1729988261505,2476.517944217707
1729991539474,2470.4836176893714
1729995040468,2475.36994572154
1729998697581,2469.8385184677345
1730002194328,2480.2423741542975
1730005997344,2477.453202720631
1730009853839,2477.3728086560245
1730012755696,2477.3097774712282
1730017069186,2479.6118018783213
1730020587881,2466.050357710685
1730023832138,2467.988025480883
1730027605695,2463.1950337996777
1730030494264,2466.738077612461
1730034420316,2478.3552192413804
1730037748243,2483.46891345133
1730041878418,2494.3774198786905
1730045793801,2500.83540284466
1730049852444,2496.3468595228023
1730054135480,2491.5969926212742
1730055860499,2484.2657780279183
1730059975743,2490.10642760335
1730062996971,2488.166408356185
1730066824500,2516.821091521964
1730070956266,2518.9139605356972
1730074481561,2504.5481500418714
1730078121252,2498.418922837143
1730081386352,2488.1093179075706
1730085261903,2490.85041424374
1730088993746,2480.1909280671407
